# iso2c,fundregion
AF,SAS
AL,EEU
DZ,MAF
AS,SIS
AD,WEU
AO,SSA
AI,SIS
AG,SIS
AR,LAM
AM,FSU
AW,SIS
AU,ANZ
AT,WEU
AZ,FSU
BS,SIS
BH,MDE
BD,SAS
BB,SIS
BY,FSU
BE,WEU
BZ,CAM
BJ,SSA
BM,SIS
BT,SAS
BO,LAM
BA,EEU
BW,SSA
BV,SIS
BR,LAM
IO,SIS
BN,SEA
BG,EEU
BF,SSA
BI,SSA
CV,SSA
KH,SEA
CM,SSA
CA,CAN
KY,SIS
CF,SSA
TD,SSA
CL,LAM
CN,CHI
CX,SIS
CC,SIS
CO,LAM
KM,SIS
CG,SSA
CD,SSA
CK,SIS
CR,CAM
CI,SSA
HR,EEU
CU,SIS
CY,WEU
CZ,EEU
DK,WEU
DJ,SSA
DM,SIS
DO,SIS
EC,LAM
EG,MAF
SV,CAM
GQ,SSA
ER,SSA
EE,FSU
ET,SSA
FK,WEU
FO,WEU
FJ,SIS
FI,WEU
FR,WEU
GF,LAM
PF,SIS
TF,SIS
GA,SSA
GM,SSA
GZ,MDE
GE,FSU
DE,WEU
GH,SSA
GI,WEU
GR,WEU
GL,WEU
GD,SIS
GP,SIS
GU,SIS
GT,CAM
GG,WEU
GN,SSA
GW,SSA
GY,LAM
HT,SIS
HM,SIS
VA,WEU
HN,CAM
HK,CHI
HU,EEU
IS,WEU
IN,SAS
ID,SEA
IR,MDE
IQ,MDE
IE,WEU
IM,WEU
IL,MDE
IT,WEU
JM,SIS
JP,JPK
JE,WEU
JO,MDE
KZ,FSU
KE,SSA
KI,SIS
KW,MDE
KG,FSU
LA,SEA
LV,FSU
LB,MDE
LS,SSA
LR,SSA
LY,MAF
LI,WEU
LT,FSU
LU,WEU
MO,CHI
MK,EEU
MG,SSA
MW,SSA
MY,SEA
MV,SIS
ML,SSA
MT,WEU
MH,SIS
MQ,SIS
MR,SSA
MU,SIS
YT,SIS
MX,CAM
FM,SIS
MD,FSU
MC,WEU
MN,CHI
ME,EEU
MS,SIS
MA,MAF
MZ,SSA
MM,SEA
NA,SSA
NR,SIS
NP,SAS
NL,WEU
AN,SIS
NC,SIS
NZ,ANZ
NI,CAM
NE,SSA
NG,SSA
NU,SIS
NF,SIS
KP,CHI
MP,SIS
NO,WEU
OM,MDE
PK,SAS
PW,SIS
PS,MDE
PA,CAM
PG,SEA
PY,LAM
PE,LAM
PH,SEA
PN,SIS
PL,EEU
PT,WEU
PR,CAM
QA,MDE
RE,SIS
RO,EEU
RU,FSU
RW,SSA
SH,SIS
KN,SIS
LC,SIS
PM,SIS
VC,SIS
WS,SIS
SM,WEU
ST,SIS
SA,MDE
SN,SSA
RS,EEU
SC,SIS
SL,SSA
SG,SEA
SK,EEU
SI,EEU
SB,SIS
SO,SSA
ZA,SSA
GS,SIS
KR,JPK
ES,WEU
LK,SAS
SD,SSA
SR,LAM
SJ,SIS
SZ,SSA
SE,WEU
CH,WEU
SY,MDE
TW,SEA
TJ,FSU
TZ,SSA
TH,SEA
TL,SEA
TG,SSA
TK,SIS
TO,SIS
TT,SIS
TN,MAF
TR,MDE
TM,FSU
TC,SIS
TV,SIS
UG,SSA
UA,FSU
AE,MDE
GB,WEU
UM,SIS
US,USA
UY,LAM
UZ,FSU
VU,SIS
VE,LAM
VN,SEA
VG,SIS
VI,SIS
WF,SIS
EH,MAF
YE,MDE
ZM,SSA
ZW,SSA
